mmsi,name,class,source
205385190,STRELITZIA,,db_ships
205385590,SMEAGOL             ,,db_ships
205386290,SPN12   ,,db_ships
205386390,ORGANZA,,db_ships
205388390,FARADAY             ,,db_ships
205388690,NAUSICAA            ,,db_ships
205388790,LUJENGHA,,db_ships
205389990,WENRO,,db_ships
205391390,OMERTA,,db_ships
205391690,SPLENDOR,,db_ships
205392290,MERFORD             ,,db_ships
205393000,PALLIETER,,db_ships
205393190,AMELIE 1,,db_ships
205393490,HET RODE VIERKANT   ,,db_ships
205393590,DE NIEUWE VISIE,,db_ships
205393890,VAIANA,,db_ships
205393990,DIABLO,,db_ships
205394490,VILARDO,,db_ships
205394990,INTENSITY,,db_ships
205396000,POLYBOTES           ,,db_ships
205397290,INTEGRITY,,db_ships
205399290,ASPASIA             ,,db_ships
205402090,ANTIGOON,,db_ships
205403390,MONACO,,db_ships
205404390,AQUILON,,db_ships
205407790,VENEZUELA,,db_ships
205411090,JAN VAN EYCK,,db_ships
205412090,BULLY,,db_ships
205414000,VB CORAL            ,,db_ships
205414190,PRESTIGE,,db_ships
205415000,VB PEARL            ,,db_ships
205415290,BARSELA,,db_ships
205416000,VB RUBY             ,,db_ships
205417000,VB EMERALD          ,,db_ships
205419290,BOXSTER,,db_ships
205420690,THEODELA C,,db_ships
205423000,EXCELSIOR,,db_ships
205423690,TARKANA,,db_ships
205424190,OSTIA,,db_ships
205425690,AVARUS              ,,db_ships
205425790,STEENDAM            ,,db_ships
205426390,LOMA,,db_ships
205426490,RUMANDY,,db_ships
205428390,OP STROOM,,db_ships
205429390,PANAMERA,,db_ships
205429890,FESTINA LENTE       ,,db_ships
205430590,SHERPA              ,,db_ships
205430790,KASTAAR             ,,db_ships
205432590,ISAIAH              ,,db_ships
205434090,ARAGON              ,,db_ships
205435190,POOLZEE,,db_ships
205435790,TORA-ZO,,db_ships
205436290,YANKEE              ,,db_ships
205437190,SPN 19,,db_ships
205437200,DJANGO,,db_ships
205442290,TARSIS              ,,db_ships
205445090,PRIMA,,db_ships
205447090,SEJONA,,db_ships
205448890,DEUGNIET,,db_ships
205450590,SPAZIOSO,,db_ships
205450690,EURONAVI            ,,db_ships
205452490,AHEAD,,db_ships
205452690,SINJOOR             ,,db_ships
205453000,MELUSINE            ,,db_ships
205453690,BIRJO II,,db_ships
205454090,GOUDVIS,,db_ships
205455490,WILLEM 1,,db_ships
205456690,SCALDIS,,db_ships
205459900,WODAN,,db_ships
205461570,ICON,,db_ships
205463390,LAZARO,,db_ships
205465000,FAST JEF            ,,db_ships
205468190,AVILA               ,,db_ships
205468690,GWENN,,db_ships
205468790,JOHANNA-H           ,,db_ships
205470790,KEMP,,db_ships
205471090,CHRIDA,,db_ships
205471190,VENTRANS II,,db_ships
205474000,VB AMBER            ,,db_ships
205475000,VB JADE             ,,db_ships
205476190,VESPER              ,,db_ships
205477290,GERONIMO,,db_ships
205477390,ENCLAVE,,db_ships
205479890,NEW YORK            ,,db_ships
205480790,EXODUS,,db_ships
205482000,FAST SUS            ,,db_ships
205482390,MAC 6,,db_ships
205482690,CHERASCO,,db_ships
205483000,VB GRIZZLY          ,,db_ships
205484000,VB KODIAK           ,,db_ships
205484790,DEN DUVEL           ,,db_ships
205485190,BARAKA,,db_ships
205487390,THALYS,,db_ships
205488090,GUATEMALA,,db_ships
205489190,RIO NEGRO           ,,db_ships
205490890,ROSSINI,,db_ships
205491290,ELISABETHSTAD,,db_ships
205492090,OGGY,,db_ships
205492290,AZZURRO             ,,db_ships
205492390,WIELINGEN           ,,db_ships
205495690,ARTEGA              ,,db_ships
205497190,FUTURA,,db_ships
205498490,RIO Y MAR,,db_ships
205498890,CIRA1,,db_ships
205501290,NOORDZEE,,db_ships
205501790,TUG 30              ,,db_ships
205503490,ZEPHIRA,,db_ships
205504190,TUG 31              ,,db_ships
205505290,ZUIGZAND,,db_ships
205505590,BANCO               ,,db_ships
205505790,EUROPORTS,,db_ships
205506190,GIRONA              ,,db_ships
205506390,TUG 32              ,,db_ships
205506790,FREEDOM             ,,db_ships
205507090,JASMIN,,db_ships
205507390,MAURICE MAETERLINCK,,db_ships
205507890,CHRIDI-V,,db_ships
205509090,VEERDAM,,db_ships
205509290,INVENTORY,,db_ships
205509590,PERSEUS,,db_ships
205512190,DE KOP,,db_ships
205513990,COMPANY,,db_ships
205514490,JALDI SE,,db_ships
205514890,CITIUS,,db_ships
205514990,MAC 4 .,,db_ships
205515190,MOZART,,db_ships
205517490,DEN BULT ,,db_ships
205517990,TRAFUCO 6,,db_ships
205520000,BREYDEL,,db_ships
205520090,MITCHELL-F,,db_ships
205521690,MANTYRANO,,db_ships
205521790,ANTIBES,,db_ships
205522890,PUCCINI,,db_ships
205523290,HYDRUS,,db_ships
205524290,CAYMAN,,db_ships
205524390,SOMTRANS XXVIII,,db_ships
205525190,PIETER BRUEGEL,,db_ships
205525390,ANTARES,,db_ships
205526590,PIETER SR.,,db_ships
205526690,MELMAR,,db_ships
205527090,BANZAI,,db_ships
205527690,GDVI ,,db_ships
205528090,LOUISA 2,,db_ships
205528890,CHARIS              ,,db_ships
205528990,CHARLES-D,,db_ships
205529490,ZULU 02,,db_ships
205529790,PETERPAN,,db_ships
205529990,DAMPEZZO,,db_ships
205530090,AGAAT 8,,db_ships
205530290,ELISA-S,,db_ships
205530390,NOTEC,,db_ships
205531390,YZERSTAR,,db_ships
205533090,LINJAD,,db_ships
205533690,CASA NOVA,,db_ships
205533890,CYGNUS,,db_ships
205533990,CAYENNE,,db_ships
205534190,DILIS,,db_ships
205534890,JAVAZEE,,db_ships
205535490,PAMIR,,db_ships
205535590,ANTWERP,,db_ships
205536490,AEOLUS              ,,db_ships
205536690,NARWAL,,db_ships
205538390,WAGNER,,db_ships
205539290,TRAFUCO 9,,db_ships
205539990,VERA PAX,,db_ships
205540000,DE BEVER,,db_ships
205540190,AMARA,,db_ships
205540290,DUBLIN,,db_ships
205540690,PELAGUS,,db_ships
205541790,TRIPOLIS,,db_ships
205542590,MALIA,,db_ships
205543390,OSIRIS,,db_ships
205544090,ELYSIUM,,db_ships
205544190,SAVONA,,db_ships
205544290,ANCOLIA,,db_ships
205545000,VB PANDA            ,,db_ships
205545590,MANACOR,,db_ships
205545990,SOPHIE ISABELL,,db_ships
205546090,XANTHOS,,db_ships
205546490,BELLINI,,db_ships
205546690,KROONSTAD,,db_ships
205547590,TARANTA,,db_ships
205547690,SPYDER,,db_ships
205549290,LNG LONDON,,db_ships
205549490,MONFORD,,db_ships
205551090,STARDUST,,db_ships
205551370,L'INVERNO           ,,db_ships
205551390,PURITY,,db_ships
205551590,WESTZEE,,db_ships
205553090,TASMANZEE,,db_ships
205553290,MENAPIER,,db_ships
205553690,VADASZ,,db_ships
205553890,AVENGERS,,db_ships
205554090,BRABO,,db_ships
205554190,ORTELIUS            ,,db_ships
205554990,LIBURNA,,db_ships
205555000,DHAMRA              ,,db_ships
205555190,COMMODORE,,db_ships
205555490,DIAMANT,,db_ships
205555790,EMMA 2,,db_ships
205555890,BRILJANT,,db_ships
205556190,WATERFORD,,db_ships
205556690,MACAN               ,,db_ships
205557290,DESEO               ,,db_ships
205558391,RIVER DRONE 1,,db_ships
205560990,NOVANDI,,db_ships
205561490,CARACAS,,db_ships
205561690,NIRVANA,,db_ships
205561790,ARGOS,,db_ships
205561890,MADRIGALE,,db_ships
205561990,MENTOR,,db_ships
205563090,URUS,,db_ships
205563190,ACHILLES,,db_ships
205563290,RIVER DRONE 2,,db_ships
205563390,RIVER DRONE 3,,db_ships
205563490,RIVER DRONE 4,,db_ships
205563690,CADENSIA,,db_ships
205564190,DON ZIMMANI,,db_ships
205564590,ENERGY STOCKHOLM,,db_ships
205565390,ZACAPA,,db_ships
205565590,RIVER DRONE 5,,db_ships
205566090,RIVER DRONE 9,,db_ships
205566190,RIVER DRONE 10,,db_ships
205566490,ANNIE 5,,db_ships
205566590,VERA CRUZ,,db_ships
205566790,VICI,,db_ships
205566890,METEOR,,db_ships
205567290,MY LADY,,db_ships
205567390,GLORIA              ,,db_ships
205567490,POROS,,db_ships
205567590,VENDETTA,,db_ships
205567790,RIVER DRONE 6,,db_ships
205568190,RIVER DRONE 7,,db_ships
205568390,CAPRIFOLIA,,db_ships
205568590,BEETHOVEN,,db_ships
205569090,OCARINA             ,,db_ships
205569190,MONS,,db_ships
205569290,TORTUGA,,db_ships
205569690,IMAGE ,,db_ships
205570190,ARWEN,,db_ships
205571490,TE FITI,,db_ships
205571790,THEGER,,db_ships
205572390,AQUA PEARL,,db_ships
205572590,AQUA EMERALD,,db_ships
205572690,AQUA DIAMOND,,db_ships
205572790,AQUA CRYSTAL,,db_ships
205572990,CAPARO,,db_ships
205573990,SAINT TROPEZ,,db_ships
205575290,CONTINENTAL,,db_ships
205575390,STRAUSS,,db_ships
205575890,PALAZZO             ,,db_ships
205576190,SEAFORD,,db_ships
205576290,MISSION,,db_ships
205576390,LUGANO,,db_ships
205576690,MAC 14,,db_ships
205576790,SCHELDEDAM,,db_ships
205577590,LEXY,,db_ships
205577690,DIGNITY,,db_ships
205577790,DIANTHUS,,db_ships
205577890,HONDIUS             ,,db_ships
205578090,,,db_ships
205578390,LOBELIA,,db_ships
205578490,OLIVIA,,db_ships
205578690,DENIVO,,db_ships
205578990,HAVANA,,db_ships
205579090,KVB INVICTUS,,db_ships
205579690,LOSYPAT,,db_ships
205579790,INIZIO ,,db_ships
205580590,SAINTE-MAXIME,,db_ships
205580990,DEROVA,,db_ships
205581090,COMO,,db_ships
205581219,XERYUS,,db_ships
205581490,MARITA              ,,db_ships
205582190,,,db_ships
205582590,PO,,db_ships
205584000,CORNELIA,,db_ships
205591000,WESTDIEP PILOT      ,,db_ships
205593000,WESTERSCHELDE PILOT ,,db_ships
205594000,WANDELAAR PILOT,,db_ships
205595000,ZEETIJGER           ,,db_ships
205598000,RAVELINGEN          ,,db_ships
205603000,AQUASURVEYOR        ,,db_ships
205604000,VICTOR HORTA        ,,db_ships
205605890,KAYAK I             ,,db_ships
205619000,VB KIWI             ,,db_ships
205625000,TUG 40              ,,db_ships
205627000,TUG 42,,db_ships
205628000,TUG 43              ,,db_ships
205635000,LOTUS,,db_ships
205639000,ZEESCHELDE          ,,db_ships
205642000,PRINCESS            ,,db_ships
205647000,PIERRE PETIT SURVEY ,,db_ships
205650000,RAAN                ,,db_ships
205651000,HONTE               ,,db_ships
205652000,DEURLOO             ,,db_ships
205654000,DN97                ,,db_ships
205665000,ZEEASTER,,db_ships
205678000,AQUALINK            ,,db_ships
205687000,GIANT 7,,db_ships
205689000,FAST HERMAN,,db_ships
205694000,BEAR                ,,db_ships
205708000,SCHELDT RIVER,,db_ships
205710410,FLORENCE,,db_ships
205713000,KALLO,,db_ships
205714000,ZEELEEUW,,db_ships
205724000,MARIE,,db_ships
205730000,VB SOUTHAMPTON      ,,db_ships
205737000,SIRIUS              ,,db_ships
205739000,HENRY DE VOS,,db_ships
205743000,KOKSIJDE,,db_ships
205744000,VASCO DA GAMA       ,,db_ships
205745000,MARIEKE,,db_ships
205755000,ORION,,db_ships
205758000,WULPEN,,db_ships
205758300,IXIA                ,,db_ships
205759000,SCHONEVELD,,db_ships
205766000,VB SEINE            ,,db_ships
205769000,MARIANNE            ,,db_ships
205770000,ELISABETH           ,,db_ships
205770710,CHANI,,db_ships
205772000,ANGELA              ,,db_ships
205775000,Z300 SOLA GRATIA    ,,db_ships
205783000,MINERAL FAITH       ,,db_ships
205788000,LA BELLE DES OCEANS ,,db_ships
205790000,CL CENTURY          ,,db_ships
205795000,A LA MARINE,,db_ships
205796000,CHARLEMAGNE         ,,db_ships
205848000,DAHILVA,,db_ships
207072399,SWIMBUS 12.01,,db_ships
207072436,VERA,,db_ships
207124000,SAKAR               ,,db_ships
207133000,AGAMEMNON,,db_ships
207138000,PEACE               ,,db_ships
207224000,ALEXANDRA           ,,db_ships
207261426,ADORA,,db_ships
207277000,DRUJBA              ,,db_ships
207290000,MULTRATUG 22,,db_ships
207346300,ANTEY               ,,db_ships
207373000,RUBISHIPS XVI ANTE,,db_ships
207391000,CASTOR              ,,db_ships
207441024,,,db_ships
207622290,VYARA               ,,db_ships
207823230,DANCHOVOTO GEORGI   ,,db_ships
207827320,HARASIMOV MLADSHI   ,,db_ships
207834830,TICHA               ,,db_ships
207834870,RIGEL               ,,db_ships
207835480,SSH-81,,db_ships
207836640,DPPI I              ,,db_ships
207836720,ALTEYA,,db_ships
207838890,NANGARA             ,,db_ships
209011000,AL ANDALUS EXPRESS  ,,db_ships
209048000,CARMELIA            ,,db_ships
209056000,NORDIC PORTO        ,,db_ships
209066000,AMULETH             ,,db_ships
209066808,,,db_ships
209074000,CHAMPION JET 2,,db_ships
209075000,NINA,,db_ships
209077000,RIGEL II,,db_ships
209078000,FRIGG W             ,,db_ships
209087000,CAPE PIONEER        ,,db_ships
209093000,ISLE OF INISHMORE   ,,db_ships
209114000,RIX AMETHYST,,db_ships
209115000,SICILIA             ,,db_ships
209126000,MULTRATUG 16        ,,db_ships
209137000,GAS-ALICE           ,,db_ships
209146000,W.B. YEATS,,db_ships
209151000,RIX ATLANTIC,,db_ships
209157000,NOVA                ,,db_ships
209168000,AGATH               ,,db_ships
209170000,JAMES JOYCE,,db_ships
209172000,AGIOS SPYRIDONAS    ,,db_ships
209177000,WEC VERMEER         ,,db_ships
209182000,SHOVELER            ,,db_ships
209184000,IMAVERE             ,,db_ships
209191000,ONE ENERGY          ,,db_ships
209192000,DUBLIN SWIFT,,db_ships
209211000,FRI PORSGRUNN,,db_ships
209216000,FIDELIO             ,,db_ships
209217000,OTELLO              ,,db_ships
209221000,TRAVIATA            ,,db_ships
209223000,AMETHYST            ,,db_ships
